comparator_isoform_id	category	comp_orf_length	n_downstream_ejc	dmso_mean	smg1i_mean	smg1i_over_dmso
ENSG00000117448.15.novel6	ref_atg_lost	NA	NA	0	13	NA
ENSG00000117448.15.novel7	effectively_ptc	630	1	0.3333333333333333	9.666666666666666	29
ENSG00000117448.15.novel8	effectively_ptc	630	1	0	9	NA
ENSG00000117448.15.novel9	effectively_ptc	357	4	4.333333333333333	8	1.8461538461538463
ENSG00000117448.15.novel10	ref_atg_lost	NA	NA	0.6666666666666666	8.666666666666666	13
ENSG00000117448.15.novel11	effectively_ptc	357	3	1.3333333333333333	2	1.5
ENSG00000117448.15.novel13	truncated_no_ejc	888	0	0	1	NA
ENSG00000117448.15.novel14	ref_atg_lost	NA	NA	3	59	19.666666666666668
ENSG00000117448.15.novel15	ref_atg_lost	NA	NA	0.3333333333333333	3.3333333333333335	10.000000000000002
ENSG00000117448.15.novel16	ref_atg_lost	NA	NA	1.6666666666666667	44.666666666666664	26.799999999999997
ENSG00000117448.15.novel17	effectively_ptc	357	3	0.6666666666666666	1.3333333333333333	2
ENSG00000117448.15.novel18	truncated_no_ejc	675	0	0	0.3333333333333333	NA
ENSG00000117448.15.novel19	truncated_no_ejc	357	0	0.6666666666666666	2.3333333333333335	3.5000000000000004
ENSG00000117448.15.novel20	effectively_ptc	357	5	0	1	NA
ENSG00000117448.15.novel22	truncated_no_ejc	675	0	0.3333333333333333	1	3
ENSG00000117448.15.novel23	ref_atg_lost	NA	NA	1	3.3333333333333335	3.3333333333333335
ENSG00000117448.15.novel24	effectively_ptc	159	6	0	0	NA
ENSG00000117448.15.novel26	effectively_ptc	357	4	0	0	NA
ENSG00000117448.15.novel28	effectively_ptc	357	5	0.3333333333333333	2	6
ENSG00000117448.15.novel29	effectively_ptc	357	4	0	0	NA
ENSG00000117448.15.novel32	ref_atg_lost	NA	NA	0	0.3333333333333333	NA
ENSG00000117448.15.novel33	effectively_ptc	159	6	0	0	NA
ENSG00000117448.15.novel34	truncated_no_ejc	357	0	0.3333333333333333	1.3333333333333333	4
ENSG00000117448.15.novel35	truncated_no_ejc	855	0	0	0.6666666666666666	NA
ENSG00000117448.15.novel36	effectively_ptc	567	3	0	0.6666666666666666	NA
ENSG00000117448.15.novel38	effectively_ptc	234	3	0	0.6666666666666666	NA
ENSG00000117448.15.novel41	no_downstream_ejc	978	0	1.6666666666666667	9.666666666666666	5.8
