reference_isoform_id	comparator_isoform_id	ref_atg_genomic	ref_atg_exonic_in_comp	ref_orf_length	comp_orf_length	comp_stop_tx_pos	n_downstream_ejc	category
ENST00000351829.9	ENST00000863943.1	45561795	TRUE	975	708	1101	0	truncated_no_ejc
ENST00000351829.9	ENST00000863944.1	45561795	TRUE	975	708	829	0	truncated_no_ejc
ENST00000351829.9	ENST00000863945.1	45561795	TRUE	975	855	1087	0	truncated_no_ejc
ENST00000351829.9	ENST00000863946.1	45561795	TRUE	975	975	1221	0	no_downstream_ejc
ENST00000351829.9	ENST00000481885.5	45561795	TRUE	975	NA	NA	NA	mapping_failed
ENST00000351829.9	ENST00000471651.1	45561795	TRUE	975	357	452	0	truncated_no_ejc
ENST00000351829.9	ENST00000863947.1	45561795	TRUE	975	975	1230	0	no_downstream_ejc
ENST00000351829.9	ENST00000863948.1	45561795	TRUE	975	837	924	0	truncated_no_ejc
ENST00000351829.9	ENST00000863949.1	45561795	TRUE	975	750	816	0	truncated_no_ejc
ENST00000351829.9	ENST00000863950.1	45561795	TRUE	975	996	1190	0	no_downstream_ejc
ENST00000351829.9	ENST00000863951.1	45561795	TRUE	975	702	768	0	truncated_no_ejc
ENST00000351829.9	ENST00000863952.1	45561795	TRUE	975	975	1049	0	no_downstream_ejc
ENST00000351829.9	ENST00000863953.1	45561795	TRUE	975	975	1162	0	no_downstream_ejc
ENST00000351829.9	ENST00000497973.5	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENST00000473038.5	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENST00000495913.5	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENST00000487654.5	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENST00000475919.1	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENST00000475985.1	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel1	45561795	TRUE	975	630	1318	1	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel2	45561795	TRUE	975	630	1464	1	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel3	45561795	TRUE	975	975	1704	0	no_downstream_ejc
ENST00000351829.9	ENSG00000117448.15.novel4	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel5	45561795	TRUE	975	357	837	4	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel6	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel7	45561795	TRUE	975	630	1229	1	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel8	45561795	TRUE	975	630	1357	1	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel9	45561795	TRUE	975	357	709	4	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel10	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel11	45561795	TRUE	975	357	711	3	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel13	45561795	TRUE	975	888	1353	0	truncated_no_ejc
ENST00000351829.9	ENSG00000117448.15.novel14	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel15	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel16	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel17	45561795	TRUE	975	357	852	3	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel18	45561795	TRUE	975	675	1027	0	truncated_no_ejc
ENST00000351829.9	ENSG00000117448.15.novel19	45561795	TRUE	975	357	956	0	truncated_no_ejc
ENST00000351829.9	ENSG00000117448.15.novel20	45561795	TRUE	975	357	711	5	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel22	45561795	TRUE	975	675	1155	0	truncated_no_ejc
ENST00000351829.9	ENSG00000117448.15.novel23	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel24	45561795	TRUE	975	159	471	6	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel26	45561795	TRUE	975	357	721	4	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel28	45561795	TRUE	975	357	804	5	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel29	45561795	TRUE	975	357	832	4	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel32	45561795	FALSE	NA	NA	NA	NA	ref_atg_lost
ENST00000351829.9	ENSG00000117448.15.novel33	45561795	TRUE	975	159	609	6	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel34	45561795	TRUE	975	357	779	0	truncated_no_ejc
ENST00000351829.9	ENSG00000117448.15.novel35	45561795	TRUE	975	855	1109	0	truncated_no_ejc
ENST00000351829.9	ENSG00000117448.15.novel36	45561795	TRUE	975	567	889	3	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel38	45561795	TRUE	975	234	714	3	effectively_ptc
ENST00000351829.9	ENSG00000117448.15.novel41	45561795	TRUE	975	978	1330	0	no_downstream_ejc
